ID;Name;Table;DataType;DataCategory;Description;IsHidden;IsUnique;IsKey;IsNullable;Alignment;SummarizeBy;ColumnStorage;Type;SourceColumn;Expression;FormatString;IsAvailableInMDX;SortByColumn;GroupingBehavior;SourceProviderType;DisplayFolder;AlternateOf;LineageTag
13;"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61";"OPORTUNIDAD_TRIAGE";"Integer";"RowNumber";"";True;True;True;False;"Default";"Default";"Consulta1 (12)$RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (13)";"RowNumber";"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61";"";"";True;"";"GroupOnValue";"";"";"";""
219883;"TIEMPO_TRIAGE_PROM";"OPORTUNIDAD_TRIAGE";"Integer";"Regular";"";False;False;False;True;"Default";"Sum";"Consulta1 (12)$Columna (219883)";"Calculated";"";"DATEDIFF(OPORTUNIDAD_TRIAGE[LLEGADA_PORTERO],OPORTUNIDAD_TRIAGE[FECHA_TRIAGE],MINUTE)";"0";True;"";"GroupOnValue";"";"";"";"5cee7ca8-617d-4276-aab4-63a85ff180c1"
332494;"FECHA";"OPORTUNIDAD_TRIAGE";"Date";"Regular";"";False;False;False;True;"Default";"None";"Consulta1 (12)$FECHA (332494)";"Data";"FECHA";"";"General Date";True;"";"GroupOnValue";"";"";"";"b56b700c-42f4-4d22-9bb7-4f76772b823d"
377362;"OID_TRIAGE";"OPORTUNIDAD_TRIAGE";"Integer";"Regular";"";False;True;False;False;"Default";"Sum";"Consulta1 (12)$OID TRIAGE (377362)";"Data";"OID_TRIAGE";"";"0";True;"";"GroupOnValue";"";"";"";"2c87f3a4-c974-4d0b-be94-a1603ec7229d"
377363;"GPADOCUME";"OPORTUNIDAD_TRIAGE";"Text";"Regular";"";False;False;False;True;"Default";"None";"Consulta1 (12)$GPADOCUME (377363)";"Data";"GPADOCUME";"";"";True;"";"GroupOnValue";"";"";"";"b8be6a99-8b95-4f35-a917-2090fdc8ca99"
377364;"HCCODIGO";"OPORTUNIDAD_TRIAGE";"Text";"Regular";"";False;False;False;True;"Default";"None";"Consulta1 (12)$HCCODIGO (377364)";"Data";"HCCODIGO";"";"";True;"";"GroupOnValue";"";"";"";"a9f7082a-d6c0-45c7-9df1-26fe8a908e64"
377365;"GPANOMBRE";"OPORTUNIDAD_TRIAGE";"Text";"Regular";"";False;False;False;True;"Default";"None";"Consulta1 (12)$GPANOMBRE (377365)";"Data";"GPANOMBRE";"";"";True;"";"GroupOnValue";"";"";"";"4d9354f8-38e5-4e29-bb44-4dd11ef70176"
377366;"GPASEGNOM";"OPORTUNIDAD_TRIAGE";"Text";"Regular";"";False;False;False;True;"Default";"None";"Consulta1 (12)$GPASEGNOM (377366)";"Data";"GPASEGNOM";"";"";True;"";"GroupOnValue";"";"";"";"09402f72-5ef5-44e5-a5c7-6509e23569a4"
377367;"GPAAPELLI";"OPORTUNIDAD_TRIAGE";"Text";"Regular";"";False;False;False;True;"Default";"None";"Consulta1 (12)$GPAAPELLI (377367)";"Data";"GPAAPELLI";"";"";True;"";"GroupOnValue";"";"";"";"70ea13f7-2ce2-43a7-b15c-eee52744045c"
377368;"GPASEGAPE";"OPORTUNIDAD_TRIAGE";"Text";"Regular";"";False;False;False;True;"Default";"None";"Consulta1 (12)$GPASEGAPE (377368)";"Data";"GPASEGAPE";"";"";True;"";"GroupOnValue";"";"";"";"de01b03c-21ee-4114-a6b2-c33a019bd4b4"
