ID;Name;Relationship;Model;IsActive;CrossFilteringBehavior;RelyOnReferentialIntegrity;FromTable;FromColumn;FromCardinality;ToTable;ToColumn;ToCardinality;State;SecurityFilteringBehavior
377361;"a5b8dcdf-952c-45cb-aaf3-72d2298b986a";"'OPORTUNIDAD_TRIAGE'[HCTFECTRI] *[<-]1 'LocalDateTable_ec332c3e-3cd8-4bc7-9922-5cae65708026'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"OPORTUNIDAD_TRIAGE";"HCTFECTRI";"Many";"LocalDateTable_ec332c3e-3cd8-4bc7-9922-5cae65708026";"Date";"One";"Ready";"Single"
379403;"a80b0eaf-47af-4c15-8611-6e9c4c304b05";"'OPORTUNIDAD_TRIAGE'[FECHA_TRIAGE] *[<-]1 'LocalDateTable_3e054006-feb4-4b6c-9598-abf3ebf09cff'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"OPORTUNIDAD_TRIAGE";"FECHA_TRIAGE";"Many";"LocalDateTable_3e054006-feb4-4b6c-9598-abf3ebf09cff";"Date";"One";"Ready";"Single"
839095;"ce93c3b8-0fc9-82c1-0fb6-75418c4ae741";"'OPORTUNIDAD_TRIAGE'[GENTERCER1] *[<-]1 'TERCERO'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"OPORTUNIDAD_TRIAGE";"GENTERCER1";"Many";"TERCERO";"OID";"One";"Ready";"Single"
4755968;"c89db8bc-41a3-645c-1c7c-8dc5cb5eca15";"'OPORTUNIDAD_TRIAGE'[FECHA] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"OPORTUNIDAD_TRIAGE";"FECHA";"Many";"Calendario";"Date";"One";"Ready";"Single"
12510;"47f67ee3-517d-43c6-8457-6ecf0618ccc9";"'CONSULTA_URGENCIAS'[FECHA_TRIAGE] *[<-]1 'LocalDateTable_abd5768c-bf3b-487c-ab5e-90c63db8a25c'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CONSULTA_URGENCIAS";"FECHA_TRIAGE";"Many";"LocalDateTable_abd5768c-bf3b-487c-ab5e-90c63db8a25c";"Date";"One";"Ready";"Single"
842962;"b2becdd0-8449-3e64-d414-7a5b6d3f466d";"'CONSULTA_URGENCIAS'[OID_TERCERO] *[<-]1 'TERCERO'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";False;"OneDirection";False;"CONSULTA_URGENCIAS";"OID_TERCERO";"Many";"TERCERO";"OID";"One";"Ready";"Single"
8790888;"811cc555-1a94-4f80-8ada-7018dfdb830e";"'CONSULTA_URGENCIAS'[FECHA_FOLIO] *[<-]1 'LocalDateTable_0ef91757-a863-4649-b09b-8ea1f667a20f'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CONSULTA_URGENCIAS";"FECHA_FOLIO";"Many";"LocalDateTable_0ef91757-a863-4649-b09b-8ea1f667a20f";"Date";"One";"Ready";"Single"
8790889;"ae861042-568b-e269-3b2c-59a5150f6f4f";"'CONSULTA_URGENCIAS'[FECHA_ADMISION] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CONSULTA_URGENCIAS";"FECHA_ADMISION";"Many";"Calendario";"Date";"One";"Ready";"Single"
744111;"97166bc5-fb08-4dec-a266-3e24350c867d";"'CIRUGIAS'[FECHA_CIRUGIA] *[<-]1 'LocalDateTable_ea2be855-3a41-4d3d-9eaf-c1d60b093be9'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CIRUGIAS";"FECHA_CIRUGIA";"Many";"LocalDateTable_ea2be855-3a41-4d3d-9eaf-c1d60b093be9";"Date";"One";"Ready";"Single"
1008507;"5d94b160-e1cd-4757-85d2-e13f1d03ff09";"'CIRUGIAS'[FECHA_INGRESO] *[<-]1 'LocalDateTable_e1c8162b-17d9-4679-af40-6d75f1093c7d'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CIRUGIAS";"FECHA_INGRESO";"Many";"LocalDateTable_e1c8162b-17d9-4679-af40-6d75f1093c7d";"Date";"One";"Ready";"Single"
1079099;"22f4c1d1-c45a-4082-b95d-a09e6bc4cc8b";"'CIRUGIAS'[FECHA_SOLCITUD] *[<-]1 'LocalDateTable_eed84406-596f-42e6-87d0-2164af7ce37a'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CIRUGIAS";"FECHA_SOLCITUD";"Many";"LocalDateTable_eed84406-596f-42e6-87d0-2164af7ce37a";"Date";"One";"Ready";"Single"
2419580;"AutoDetected_5fe0ecfc-65b3-46b7-89f5-e289762d32b9";"'CIRUGIAS'[OID] *[<-]1 'ASEGURADORAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";False;"OneDirection";False;"CIRUGIAS";"OID";"Many";"ASEGURADORAS";"OID";"One";"Ready";"Single"
2419581;"AutoDetected_4d8638ba-7788-4db0-9cd0-f1472bdcef29";"'CIRUGIAS'[OID] *[<-]1 'CAMAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CIRUGIAS";"OID";"Many";"CAMAS";"OID";"One";"Ready";"Single"
2419582;"AutoDetected_4fccb5cf-8f8f-4d53-9ed6-69f5d63722b0";"'CIRUGIAS'[OID] *[<-]1 'UNIDAD'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";False;"OneDirection";False;"CIRUGIAS";"OID";"Many";"UNIDAD";"OID";"One";"Ready";"Single"
2671560;"3fe1ecc3-149b-4b42-b434-d957fe4ad161";"'CIRUGIAS'[AINFECING] *[<-]1 'LocalDateTable_1e4d3198-fceb-4af7-8182-f357869f4fe1'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CIRUGIAS";"AINFECING";"Many";"LocalDateTable_1e4d3198-fceb-4af7-8182-f357869f4fe1";"Date";"One";"Ready";"Single"
4755970;"0dad79a7-4d35-912c-648f-3700ae68c433";"'CIRUGIAS'[FECHA] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CIRUGIAS";"FECHA";"Many";"Calendario";"Date";"One";"Ready";"Single"
8245523;"1abc5c90-b3e8-8d82-33be-1540518881dd";"'CIRUGIAS'[GENTERCER1] *[<-]1 'TERCERO'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CIRUGIAS";"GENTERCER1";"Many";"TERCERO";"OID";"One";"Ready";"Single"
2000;"84f5b4f1-ea41-4544-a352-154a9df5b1b6";"'ATENCIONES_GINECO'[MES_INGRESO] *[<-]1 'LocalDateTable_93fa716f-31f2-479a-bb24-9a51280ab80e'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"ATENCIONES_GINECO";"MES_INGRESO";"Many";"LocalDateTable_93fa716f-31f2-479a-bb24-9a51280ab80e";"Date";"One";"Ready";"Single"
665529;"546d8f93-240c-5859-092a-53b4bbb746da";"'ATENCIONES_GINECO'[OID_ASEGURADORA] *[<-]1 'ASEGURADORAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"ATENCIONES_GINECO";"OID_ASEGURADORA";"Many";"ASEGURADORAS";"OID";"One";"Ready";"Single"
