ID;Name;Model;DataCategory;Description;IsHidden;StorageMode;TableStorage;Expression;ShowAsVariationOnly;IsPrivate;CalculationGroupPrecedence;LineageTag
12;"OPORTUNIDAD_TRIAGE";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (12)";"";False;False;;"ebb82cda-ed67-4cff-8842-4c81018a85f6"
15;"DateTableTemplate_40012e61-7c29-4a06-8f9c-d723de648a2e";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"DateTableTemplate 40012e61 7c29 4a06 8f9c d723de648a2e (15)";"Calendar(Date(2015,1,1), Date(2015,1,1))";False;True;;"4ceceab6-2b9e-4f92-a8ef-429ea112b362"
697;"CONSULTA_URGENCIAS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (697)";"";False;False;;"d02d6af6-43a8-48a4-ace2-dadafb77c9fb"
1125;"CIRUGIAS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (1125)";"";False;False;;"c636186c-0e03-4720-b9f5-de3c819d5179"
1994;"ATENCIONES_GINECO";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (1994)";"";False;False;;"fc85c559-ca25-41be-997c-5a2a3d850306"
1997;"LocalDateTable_93fa716f-31f2-479a-bb24-9a51280ab80e";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 93fa716f 31f2 479a bb24 9a51280ab80e (1997)";"Calendar(Date(Year(MIN('ATENCIONES_GINECO'[MES_INGRESO])), 1, 1), Date(Year(MAX('ATENCIONES_GINECO'[MES_INGRESO])), 12, 31))";True;False;;"a13ff4da-009a-4df1-bc1c-86a500275a93"
12507;"LocalDateTable_abd5768c-bf3b-487c-ab5e-90c63db8a25c";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable abd5768c bf3b 487c ab5e 90c63db8a25c (12507)";"Calendar(Date(Year(MIN('CONSULTA_URGENCIAS'[FECHA_TRIAGE])), 1, 1), Date(Year(MAX('CONSULTA_URGENCIAS'[FECHA_TRIAGE])), 12, 31))";True;False;;"d7d863c5-ea90-4ee3-b312-057e9632a1af"
46417;"PARTOS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (46417)";"";False;False;;"c4657310-40dc-4b25-b4cd-c58ac2b277a8"
72011;"REFERENCIA";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (72011)";"";False;False;;"0e466417-ff05-4653-b0b8-3f1f71aadb07"
72014;"LocalDateTable_297d578a-c048-4aa5-8644-e07a27460348";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 297d578a c048 4aa5 8644 e07a27460348 (72014)";"Calendar(Date(Year(MIN('REFERENCIA'[FECHALLAM])), 1, 1), Date(Year(MAX('REFERENCIA'[FECHALLAM])), 12, 31))";True;False;;"bee27356-4b36-44ac-bcfb-ab77bba64df0"
72017;"LocalDateTable_9224751e-1108-4bd4-b12c-59d4d2aeccff";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";True;"Import";"LocalDateTable 9224751e 1108 4bd4 b12c 59d4d2aeccff (72017)";"Calendar(Date(Year(MIN('REFERENCIA'[FECHALLEG])), 1, 1), Date(Year(MAX('REFERENCIA'[FECHALLEG])), 12, 31))";True;False;;"99da4b99-42f3-4174-96de-325758c92e5d"
104140;"UNIDAD";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (104140)";"";False;False;;"b2d71b76-5d21-4e93-9aea-74f7792d5b0b"
272357;"PORCENTAJE_OCUP";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (272357)";"";False;False;;"a0022bdf-ceb1-4d0e-85f5-bd43d79f85d7"
280481;"OBSERVADOS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (280481)";"";False;False;;"cfa83250-4e6f-4c1e-b18b-d5a53b7e1f11"
312438;"IMAGENES_CARDIOLOGIA";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (312438)";"";False;False;;"53e47222-09fb-46fe-a268-06495d0f21dd"
313147;"IMAGENES_ECOGRAFIA";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta2 (313147)";"";False;False;;"ab36c497-b82f-4417-8c7c-c316733509a0"
313922;"IMAGENES_OTRAS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (313922)";"";False;False;;"df6302c5-3a63-488f-86ce-1cf77a5beeda"
314625;"Calendario";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Tabla (314625)";"CALENDAR(""2023-01-01"",DATE(YEAR(TODAY()),12,31))";False;False;;"f5977950-4b78-4d67-8c6d-b8f34cdececa"
343259;"ASEGURADORAS";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";"Regular";"";False;"Import";"Consulta1 (343259)";"";False;False;;"f4676292-e412-41cf-81bc-0f7a7c8ec6eb"
